scrape-vowels-vowels-aa_275_1617950402_vowels1_ARE(1),aa,good,possible,
scrape-vowels-vowels-aa_275_1617950406_vowels1_ARE(1),aa,good,possible,
scrape-vowels-vowels-aa_275_1617950411_vowels1_ARE(1),aa,good,possible,
scrape-vowels-vowels-aa_275_1617950416_vowels1_ARE(1),aa,good,possible,
scrape-vowels-vowels-aa_275_1617950421_vowels1_ARE(1),aa,good,possible,
scrape-vowels-vowels-aa_275_1617950754_vowels1_ARE(1),aa,good,possible,
scrape-vowels-vowels-aa_275_1617950767_vowels1_ARE(1),aa,good,possible,
scrape-vowels-vowels-ae_275_1617950448_vowels1_'AE,ae,good,possible,
scrape-vowels-vowels-ae_275_1617950452_vowels1_'AE,ae,good,possible,
scrape-vowels-vowels-ae_275_1617950456_vowels1_'AE,ae,good,possible,
scrape-vowels-vowels-ae_275_1617950461_vowels1_'AE,ae,good,possible,
scrape-vowels-vowels-ae_275_1617950465_vowels1_'AE,ae,good,possible,
scrape-vowels-vowels-ae_275_1617950470_vowels1_'AE,ae,good,possible,
scrape-vowels-vowels-ae_275_1617950475_vowels1_'AE,ae,good,possible,
scrape-vowels-vowels-ae_275_1617950479_vowels1_'AE,ae,good,possible,
scrape-vowels-vowels-ao_275_1617950383_vowels1_OR(1),ao,good,possible,
scrape-vowels-vowels-ao_275_1617950388_vowels1_OR(1),ao,good,possible,
scrape-vowels-vowels-ao_275_1617950392_vowels1_OR(1),ao,good,possible,
scrape-vowels-vowels-ao_275_1617950398_vowels1_OR(1),ao,good,possible,
scrape-vowels-vowels-ao_275_1617950740_vowels1_OR(1),ao,good,possible,
scrape-vowels-vowels-ao_275_1617950745_vowels1_OR(1),ao,good,possible,
scrape-vowels-vowels-ao_275_1617950750_vowels1_OR(1),ao,good,possible,
scrape-vowels-vowels-ao_275_1617950763_vowels1_OR(1),ao,good,possible,
scrape-vowels-vowels-ay_275_1617950521_vowels1_I,ay,good,possible,
scrape-vowels-vowels-ay_275_1617950527_vowels1_I,ay,good,possible,
scrape-vowels-vowels-ay_275_1617950534_vowels1_I,ay,good,possible,
scrape-vowels-vowels-ay_275_1617950539_vowels1_I,ay,good,possible,
scrape-vowels-vowels-ay_275_1617950544_vowels1_I,ay,good,possible,
scrape-vowels-vowels-ay_275_1617950548_vowels1_I,ay,good,possible,
scrape-vowels-vowels-ay_275_1617950552_vowels1_I,ay,good,possible,
scrape-vowels-vowels-ay_275_1617950557_vowels1_I,ay,good,possible,
scrape-vowels-vowels-ay_275_1617950561_vowels1_I,ay,good,possible,
scrape-vowels-vowels-ay_275_1617950568_vowels1_I,ay,good,possible,
scrape-vowels-vowels-er_275_1617950489_vowels1_ERR(1),er,good,possible,
scrape-vowels-vowels-er_275_1617950494_vowels1_ERR(1),er,good,possible,
scrape-vowels-vowels-er_275_1617950498_vowels1_ERR(1),er,good,possible,
scrape-vowels-vowels-er_275_1617950504_vowels1_ERR(1),er,good,possible,
scrape-vowels-vowels-er_275_1617950508_vowels1_ERR(1),er,good,possible,
scrape-vowels-vowels-er_275_1617950512_vowels1_ERR(1),er,good,possible,
scrape-vowels-vowels-er_275_1617950516_vowels1_ERR(1),er,good,possible,
scrape-vowels-vowels-ey_275_1617950574_vowels1_'EY,ey,good,possible,
scrape-vowels-vowels-ey_275_1617950583_vowels1_'EY,ey,good,possible,
scrape-vowels-vowels-ey_275_1617950587_vowels1_'EY,ey,good,possible,
scrape-vowels-vowels-ey_275_1617950592_vowels1_'EY,ey,good,possible,
scrape-vowels-vowels-ey_275_1617950596_vowels1_'EY,ey,good,possible,
scrape-vowels-vowels-ey_275_1617950603_vowels1_'EY,ey,good,possible,
scrape-vowels-vowels-ey_275_1617950608_vowels1_'EY,ey,good,possible,
scrape-vowels-vowels-ey_275_1617950612_vowels1_'EY,ey,good,possible,
scrape-vowels-vowels-ey_275_1617950617_vowels1_'EY,ey,good,possible,
scrape-vowels-vowels-ih_275_1617951551_vowels1_'IH,ih,good,possible,
scrape-vowels-vowels-ih_275_1617951556_vowels1_'IH,ih,good,possible,
scrape-vowels-vowels-ih_275_1617951562_vowels1_'IH,ih,good,possible,
scrape-vowels-vowels-ih_275_1617951567_vowels1_'IH,ih,good,possible,
scrape-vowels-vowels-ih_275_1617951572_vowels1_'IH,ih,good,possible,
scrape-vowels-vowels-ih_275_1617951576_vowels1_'IH,ih,good,possible,
scrape-vowels-vowels-ih_275_1617951581_vowels1_'IH,ih,good,possible,
scrape-vowels-vowels-iy_275_1617951495_vowels1_'EE,iy,good,possible,
scrape-vowels-vowels-iy_275_1617951501_vowels1_'EE,iy,good,possible,
scrape-vowels-vowels-iy_275_1617951506_vowels1_'EE,iy,good,possible,
scrape-vowels-vowels-iy_275_1617951511_vowels1_'EE,iy,good,possible,
scrape-vowels-vowels-iy_275_1617951515_vowels1_'EE,iy,good,possible,
scrape-vowels-vowels-iy_275_1617951520_vowels1_'EE,iy,good,possible,
scrape-vowels-vowels-iy_275_1617951524_vowels1_'EE,iy,good,possible,
